Month,Day,Percent_Change
12,31,-1.0311%
12,30,-0.4889%
12,29,0.0862%
12,26,0.3310%
12,24,-0.0139%
12,23,0.1746%
12,22,0.3810%
12,19,0.4570%
12,18,2.4015%
12,17,2.0352%
12,16,-0.8489%
12,15,-0.6343%
12,12,-1.6214%
12,11,0.4536%
12,10,-1.6351%
12,9,-0.0238%
12,8,-0.7257%
12,5,0.1665%
12,4,-0.1162%
12,3,0.3765%
12,2,0.6384%
12,1,-0.6829%
11,28,-0.2542%
11,26,0.2806%
11,25,-0.1150%
11,24,0.2864%
11,21,0.5237%
11,20,0.1967%
11,19,-0.1501%
11,18,0.5134%
11,17,0.0735%
11,14,0.0240%
11,13,0.0530%
11,12,-0.0701%
11,11,0.0697%
11,10,0.3120%
11,7,0.0350%
11,6,0.3776%
11,5,0.5700%
11,4,-0.2830%
11,3,-0.0119%
10,31,1.1731%
10,30,0.6230%
10,29,-0.1385%
10,28,1.1939%
10,27,-0.1502%
10,24,0.7053%
10,23,1.2303%
10,22,-0.7299%
10,21,1.9574%
10,20,0.9143%
10,17,1.2884%
10,16,0.0145%
10,15,-0.8100%
10,14,0.1579%
10,13,-1.6468%
10,10,-1.1451%
10,9,-2.0661%
10,8,1.7462%
10,7,-1.5126%
10,6,-0.1565%
10,3,1.1166%
10,2,0.0005%
10,1,-1.3249%
9,30,-0.2786%
9,29,-0.2547%
9,26,0.8576%
9,25,-1.6169%
9,24,0.7832%
9,23,-0.5777%
9,22,-0.8013%
9,19,-0.0477%
9,18,0.4891%
9,17,0.1296%
9,16,0.7484%
9,15,-0.0710%
9,12,-0.5963%
9,11,0.0882%
9,10,0.3646%
9,9,-0.6545%
9,8,-0.3073%
9,5,0.5036%
9,4,-0.1534%
9,3,-0.0779%
9,2,-0.0544%
8,29,0.3320%
8,28,-0.1690%
8,27,0.0050%
8,26,0.1051%
8,25,0.4788%
8,22,-0.1993%
8,21,0.2950%
8,20,0.2478%
8,19,0.5001%
8,18,0.8532%
8,15,-0.0061%
8,14,0.4346%
8,13,0.6707%
8,12,-0.1637%
8,11,0.2759%
8,8,1.1531%
8,7,-0.5557%
8,6,0.0016%
8,5,-0.9685%
8,4,0.7189%
8,1,-0.2859%
7,31,-1.9999%
7,30,0.0061%
7,29,-0.4528%
7,28,0.0288%
7,25,-0.4849%
7,24,0.0488%
7,23,0.1754%
7,22,0.5016%
7,21,-0.2320%
7,18,1.0265%
7,17,-1.1834%
7,16,0.4201%
7,15,-0.1932%
7,14,0.4844%
7,11,0.1471%
7,10,-0.4131%
7,9,0.4644%
7,8,-0.7049%
7,7,-0.3924%
7,3,0.5480%
7,2,0.0659%
7,1,0.6678%
6,30,-0.0372%
6,27,0.1911%
6,26,-0.1179%
6,25,0.4898%
6,24,-0.6435%
6,23,-0.0132%
6,20,0.1730%
6,19,0.1277%
6,18,0.7719%
6,17,0.2173%
6,16,0.0837%
6,13,0.3135%
6,12,-0.7089%
6,11,-0.3537%
6,10,-0.0246%
6,9,0.0939%
6,6,0.4628%
6,5,0.6525%
6,4,0.1892%
6,3,-0.0379%
6,2,0.0728%
5,30,0.1844%
5,29,0.5367%
5,28,-0.1114%
5,27,0.5988%
5,23,0.4248%
5,22,0.2362%
5,21,0.8116%
5,20,-0.6498%
5,19,0.3845%
5,16,0.3747%
5,15,-0.9362%
5,14,-0.4701%
5,13,0.0422%
5,12,0.9673%
5,9,0.1519%
5,8,-0.1374%
5,7,0.5616%
5,6,-0.8988%
5,5,0.1871%
5,2,-0.1348%
5,1,-0.0143%
4,30,0.2992%
4,29,0.4761%
4,28,0.3236%
4,25,-0.8096%
4,24,0.1717%
4,23,-0.2213%
4,22,0.4092%
4,21,0.3775%
4,17,0.1364%
4,16,1.0488%
4,15,0.6757%
4,14,0.8217%
4,11,-0.9487%
4,10,-2.0885%
4,9,1.0918%
4,8,0.3751%
4,7,-1.0750%
4,4,-1.2537%
4,3,-0.1126%
4,2,0.2853%
4,1,0.7039%
3,31,0.7924%
3,28,0.4640%
3,27,-0.1900%
3,26,-0.7000%
3,25,0.4404%
3,24,-0.4865%
3,21,-0.2933%
3,20,0.6041%
3,19,-0.6132%
3,18,0.7220%
3,17,0.9614%
3,14,-0.2822%
3,13,-1.1701%
3,12,0.0305%
3,11,-0.5082%
3,10,-0.0463%
3,7,0.0538%
3,6,0.1718%
3,5,-0.0053%
3,4,1.5268%
3,3,-0.7379%
2,28,0.2783%
2,27,0.4948%
2,26,0.0022%
2,25,-0.1348%
2,24,0.6187%
2,21,-0.1919%
2,20,0.6031%
2,19,-0.6524%
2,18,0.1158%
2,14,0.4809%
2,13,0.5810%
2,12,-0.0269%
2,11,1.1062%
2,10,0.1569%
2,7,1.3302%
2,6,1.2440%
2,5,-0.2028%
2,4,0.7641%
2,3,-2.2832%
1,31,-0.6465%
1,30,1.1267%
1,29,-1.0209%
1,28,0.6141%
1,27,-0.4876%
1,24,-2.0875%
1,23,-0.8890%
1,22,0.0575%
1,21,0.2774%
1,17,-0.3895%
1,16,-0.1347%
1,15,0.5166%
1,14,1.0818%
1,13,-1.2576%
1,10,0.2307%
1,9,0.0348%
1,8,-0.0212%
1,7,0.6082%
1,6,-0.2512%
1,3,-0.0333%
1,2,0.0339%
